"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"GCG",0,7.54690974745977,0.998,0.607,0,"CellType1"
"TTR",0,5.08996993264652,1,0.706,0,"CellType1"
"IRX2",0,6.89533164885875,0.772,0.017,0,"CellType1"
"LOXL4",0,5.91227587177365,0.418,0.03,0,"CellType1"
"GC",0,5.80920365873483,0.859,0.033,0,"CellType1"
"MUC13",0,4.41100040183342,0.659,0.109,0,"CellType1"
"CLU",0,3.1109202917882,0.997,0.703,0,"CellType1"
"TM4SF4",0,3.47951581446361,0.836,0.2,0,"CellType1"
"CRYBA2",5.11152863898985e-299,4.1348857435727,0.525,0.111,8.25102952905742e-295,"CellType1"
"PDK4",0,3.07814296038997,0.744,0.334,0,"CellType1"
"VGF",0,2.6901638463194,0.976,0.492,0,"CellType1"
"FAP",5.74771135188424e-258,7.41028436964019,0.271,0.003,9.27795566421154e-254,"CellType1"
"PCSK2",0,2.92425344113322,0.958,0.435,0,"CellType1"
"RGS4",0,3.6103087901409,0.724,0.139,0,"CellType1"
"FXYD5",0,3.69194880673124,0.692,0.214,0,"CellType1"
"TMEM176B",0,3.12489787781761,0.95,0.366,0,"CellType1"
"F10",0,4.80045608946511,0.596,0.038,0,"CellType1"
"TMEM176A",0,3.03092206546578,0.937,0.35,0,"CellType1"
"GPX3",0,2.58515563957986,0.981,0.457,0,"CellType1"
"SMIM24",0,4.14179264148597,0.526,0.051,0,"CellType1"
"FEV",0,4.06269260503416,0.589,0.046,0,"CellType1"
"VSTM2L",0,4.61120501152217,0.493,0.041,0,"CellType1"
"SERPINA1",6.52100786298502e-303,2.23044832877135,0.783,0.32,1.05262108924304e-298,"CellType1"
"KCTD12",0,3.61134898225842,0.524,0.086,0,"CellType1"
"ALDH1A1",0,2.33489960038203,0.913,0.549,0,"CellType1"
"CAMK2G",1.01228620546789e-225,3.14208897885033,0.515,0.158,1.63403239286626e-221,"CellType1"
"FXYD3",1.45212764629284e-281,3.55964351358341,0.476,0.085,2.34402444664591e-277,"CellType1"
"SLC7A2",0,2.4113381908267,0.892,0.462,0,"CellType1"
"PAPPA2",0,3.34679005646468,0.55,0.069,0,"CellType1"
"ARX",0,3.67035058668549,0.433,0.028,0,"CellType1"
"PALLD",1.25606067993687e-215,2.5542059904293,0.638,0.286,2.02753314955409e-211,"CellType1"
"CD99",0,1.8208316746284,0.986,0.762,0,"CellType1"
"AGT",1.23568059506642e-116,2.77961395029737,0.392,0.14,1.99463561655622e-112,"CellType1"
"IGFBP2",1.32016158403115e-228,2.38994853193181,0.66,0.297,2.13100482894309e-224,"CellType1"
"GLS",1.3472864587848e-299,2.62518804098103,0.682,0.268,2.17478980177042e-295,"CellType1"
"CHGB",0,1.64172053185093,0.978,0.573,0,"CellType1"
"SMOC1",1.96751051340015e-278,2.55703992156693,0.619,0.187,3.17595547073051e-274,"CellType1"
"INHBA",2.35353934259222e-213,3.25142017107369,0.365,0.055,3.79908320681237e-209,"CellType1"
"CALY",3.2126379428992e-278,2.7482579563041,0.59,0.16,5.18584016742788e-274,"CellType1"
"RNASEK",0,1.61053021727181,0.986,0.913,0,"CellType1"
"COTL1",3.02904965249895e-264,2.50918147186824,0.632,0.215,4.8894919490638e-260,"CellType1"
"MAFB",8.97662204995541e-199,1.88101958117378,0.703,0.33,1.4490063313038e-194,"CellType1"
"FABP5",7.98173798479482e-243,2.81393700901819,0.437,0.079,1.28841214550558e-238,"CellType1"
"SCG5",0,1.44537918759995,0.991,0.634,0,"CellType1"
"PTP4A3",2.38139304650904e-242,2.54047797969584,0.516,0.131,3.8440446556749e-238,"CellType1"
"HLA.A",0,1.39405031964357,0.995,0.889,0,"CellType1"
"PPP2R2B",1.15018035708196e-180,4.02127433175266,0.25,0.02,1.85662113240169e-176,"CellType1"
"NPNT",6.12640521096019e-157,2.82988208746156,0.305,0.053,9.88924329153193e-153,"CellType1"
"SPINT2",0,1.46273916910197,0.977,0.881,0,"CellType1"
"CHGA",0,1.25197798700375,0.995,0.616,0,"CellType1"
"CTSZ",1.73650877913339e-206,2.11578487863188,0.665,0.332,2.80307247127713e-202,"CellType1"
"SLC22A17",2.4179401108907e-280,1.89400779299281,0.795,0.371,3.90303892699977e-276,"CellType1"
"PCSK1N",0,1.24916046539287,0.998,0.645,0,"CellType1"
"EGFL7",2.44997625384355e-160,3.18676463977087,0.327,0.068,3.95475166895427e-156,"CellType1"
"CYSTM1",0,1.49094177187752,0.953,0.784,0,"CellType1"
"CST3",0,1.41177143887861,0.978,0.875,0,"CellType1"
"SCG2",1.75957403514854e-188,1.31009848240511,0.906,0.56,2.84030440753678e-184,"CellType1"
"KIAA1324",4.60876731030209e-211,1.55826632130625,0.841,0.536,7.43947219228964e-207,"CellType1"
"B2M",0,1.10898401717477,0.997,0.959,0,"CellType1"
"HSPA1A",4.4884760194338e-92,1.61859470177309,0.637,0.449,7.24529799057004e-88,"CellType1"
"CD82",2.04288491396934e-208,2.12596509840581,0.6,0.239,3.29762482812931e-204,"CellType1"
"ZFP36",8.86022358017978e-160,1.65984223714082,0.684,0.375,1.43021729031262e-155,"CellType1"
"PLD3",0,1.49169145199075,0.928,0.641,0,"CellType1"
"GADD45G",2.14280313551202e-117,2.10730249540874,0.444,0.182,3.45891282134351e-113,"CellType1"
"SPTSSB",1.77280570700989e-156,3.22593975072213,0.258,0.032,2.86166297225536e-152,"CellType1"
"C2CD4B",7.85081327684307e-162,1.64470386779101,0.702,0.398,1.26727827914801e-157,"CellType1"
"RHOB",5.92030107804662e-175,1.70904607925695,0.686,0.367,9.55655000018286e-171,"CellType1"
